TITLE,ALBUM,ARTIST,IS_NEW
My Own Summer (Shove It),Around the Fur,Deftones,false
Passenger,White Pony,Deftones,false
Sextape,Diamond Eyes,Deftones,false
Enjoy the Silence,Violator | The 12 Singles,Depeche Mode,false
Ghosts Again,Memento Mori,Depeche Mode,false
I Feel You,Songs of Faith and Devotion (Deluxe),Depeche Mode,false
It's No Good,Ultra (Deluxe),Depeche Mode,false
Just Can't Get Enough,Speak and Spell (Deluxe),Depeche Mode,false
Never Let Me Down Again,Music for the Masses (Deluxe),Depeche Mode,false
Personal Jesus,The Singles 86-98,Depeche Mode,false
Policy of Truth,Violator (Deluxe),Depeche Mode,false
Strangelove,The Singles 86-98,Depeche Mode,false
Stripped,Black Celebration (Deluxe),Depeche Mode,false
Whip It,Oh No It's Devo / Freedom Of Choice,DEVO,false
Holy Diver,Holy Diver,Dio,false
Rainbow In The Dark,Holy Diver,Dio,false
City Of Angels,Sing Sing Death House,The Distillers,false
Down with the Sickness,The Sickness,Disturbed,false
Stricken,Ten Thousand Fists,Disturbed,false
The Game,The Sickness,Disturbed,false
Into The Fire,Tooth and Nail,Dokken,false
Break on Through (To the Other Side),The Doors,The Doors,false
Light My Fire,The Doors,The Doors,false
Riders on the Storm,L.A. Woman,The Doors,false
Roadhouse Blues,Morrison Hotel,The Doors,false
I'm Shipping Up To Boston,The Warrior's Code,Dropkick Murphys,false
Bodies,Sinner,Drowning Pool,false
Tear Away,Sinner,Drowning Pool,false
A View to a Kill,Decade,Duran Duran,false
Hungry Like the Wolf,Rio (Collector's Edition),Duran Duran,false
Is There Something I Should Know?,Greatest,Duran Duran,false
Ordinary World,Duran Duran,Duran Duran,false
Planet Earth,Duran Duran,Duran Duran,false
The Wild Boys,Greatest,Duran Duran,false
The Killing Moon,Ocean Rain (Expanded; 2007 Remaster),Echo & the Bunnymen,false
The Last Crusade - A New Age Dawns 1,Consign To Oblivion (Expanded Edition),Epica,false
Situations,Dying Is Your Latest Fashion,Escape the Fate,false
The Final Countdown,The Final Countdown (Expanded Edition),Europe,false
Missionary Man,Revenge,"Eurythmics,Annie Lennox,Dave Stewart",false
Sweet Dreams (Are Made of This),Sweet Dreams (Are Made Of This),"Eurythmics,Annie Lennox,Dave Stewart",false
Bring Me To Life,Fallen,Evanescence,false
Call Me When You're Sober,The Open Door,Evanescence,false
Going Under,Fallen,Evanescence,false
Lithium,The Open Door,Evanescence,false
My Immortal,Fallen,Evanescence,false
More Than Words,Extreme II - Pornograffitti,Extreme,false
Ashes to Ashes,Album of the Year (2016 Remaster; Deluxe Edition),Faith No More,false
Easy,Angel Dust,Faith No More,false
Epic,The Real Thing,Faith No More,false
Falling to Pieces,The Real Thing,Faith No More,false
I Started a Joke - Digging the Grave,"King for a Day, Fool for a Lifetime (2016 Remaster; Deluxe Edition)",Faith No More,false
Last Cup of Sorrow,Album of the Year (2016 Remaster; Deluxe Edition),Faith No More,false
Midlife Crisis,Angel Dust,Faith No More,false
Surprise! You're Dead!,The Real Thing,Faith No More,false
We Care a Lot,Introduce Yourself,Faith No More,false
"A Little Less Sixteen Candles, A Little More Touch Me",From Under The Cork Tree,Fall Out Boy,false
"Dance, Dance",From Under The Cork Tree,Fall Out Boy,false
"Sugar, We're Goin Down",From Under The Cork Tree,Fall Out Boy,false
"The Take Over, The Breaks Over",Infinity On High,Fall Out Boy,false
"This Ain't A Scene, It's An Arms Race",Infinity On High,Fall Out Boy,false
Thnks fr th Mmrs,Infinity On High,Fall Out Boy,false
Buck Rogers,Echo Park,Feeder,false
